ALGORITHM & ACCURACY (SD) & F1SCORE (SD)
NSGAII & 0,78 ($\pm0,0060$) & 0,79 ($\pm0,0071$) \\
PESA2 & 0,78 ($\pm0,0062$) & 0,78 ($\pm0,0068$) \\
SPEA2 & 0,78 ($\pm0,0044$) & 0,79 ($\pm0,0048$) \\
DBEA & 0,77 ($\pm0,0149$) & 0,77 ($\pm0,0146$) \\
SMSEMOA & 0,76 ($\pm0,0096$) & 0,76 ($\pm0,0089$) \\
eMOEA & 0,76 ($\pm0,0124$) & 0,77 ($\pm0,0123$) \\
PAES & 0,61 ($\pm0,1470$) & 0,58 ($\pm0,2147$) \\
