ALGORITHM & ACCURACY (SD) & F1SCORE (SD)
NSGAII & 0,9274 ($\pm0,0014$) & 0,9273 ($\pm0,0013$) \\
PESA2 & 0,9270 ($\pm0,0021$) & 0,9270 ($\pm0,0019$) \\
SPEA2 & 0,9284 ($\pm0,0001$) & 0,9282 ($\pm0,0001$) \\
DBEA & 0,9262 ($\pm0,0016$) & 0,9260 ($\pm0,0016$) \\
SMSEMOA & 0,9209 ($\pm0,0054$) & 0,9208 ($\pm0,0053$) \\
eMOEA & 0,9200 ($\pm0,0046$) & 0,9200 ($\pm0,0045$) \\
PAES & 0,8579 ($\pm0,0612$) & 0,8588 ($\pm0,0613$) \\
