dataset,algorithm,accuracy,f1score
organmnist_axial,eMOEA,0.9172198176383972,0.9176773428916931
organmnist_axial,eMOEA,0.9237446784973145,0.9233051538467407
organmnist_axial,eMOEA,0.9057636857032776,0.9058382511138916
organmnist_axial,eMOEA,0.9055761694908142,0.9061393737792969
organmnist_axial,eMOEA,0.922957181930542,0.9232305884361267
organmnist_axial,eMOEA,0.9238759875297546,0.9237880706787109
organmnist_axial,eMOEA,0.9217572212219238,0.9218577146530151
organmnist_axial,eMOEA,0.9206135272979736,0.9207282066345215
organmnist_axial,eMOEA,0.9211384654045105,0.9212220907211304
organmnist_axial,eMOEA,0.9086323976516724,0.9083890914916992
