dataset,algorithm,accuracy,f1score
organmnist_axial,DBEA,0.9281883835792542,0.9279927015304565
organmnist_axial,DBEA,0.9238932893299346,0.9237880706787109
organmnist_axial,DBEA,0.9266133904457092,0.9264699220656249
organmnist_axial,DBEA,0.9237446784992145,0.9233051538467407
organmnist_axial,DBEA,0.9279311439743042,0.9278261065483093
organmnist_axial,DBEA,0.9252821803092957,0.92503821849823
organmnist_axial,DBEA,0.9266133904457092,0.9264699220656249
organmnist_axial,DBEA,0.9253947138786316,0.9252708554267883
organmnist_axial,DBEA,0.9284321069717407,0.9282541871070862
organmnist_axial,DBEA,0.9256932285626819,0.9254295229911804
organmnist_axial,ResNet-50,0.9310000100135803,0.9321883945465088
organmnist_axial,ResNet-50,0.9346666669845581,0.9320000147819519
organmnist_axial,ResNet-50,0.9356667137145696,0.9346068577766418
organmnist_axial,ResNet-50,0.9310000100135803,0.9321883945465088
organmnist_axial,ResNet-50,0.9346666669845581,0.9320000147819519
organmnist_axial,ResNet-50,0.9356667137145696,0.9346068577766418
organmnist_axial,ResNet-50,0.9310000100135803,0.9321883945465088
organmnist_axial,ResNet-50,0.9346666669845581,0.9320000147819519
organmnist_axial,ResNet-50,0.9356667137145696,0.9346068577766418
organmnist_axial,ResNet-50,0.9310000100135803,0.9321883945465088
organmnist_axial,AutoKeras,0.9220000147819519,0.9291883945465088
organmnist_axial,AutoKeras,0.9246666669845581,0.9263206958770932
organmnist_axial,AutoKeras,0.9246666669845581,0.9220000147819519
organmnist_axial,AutoKeras,0.9256667137145696,0.9266068577766418
organmnist_axial,AutoKeras,0.9220000147819519,0.9291883945465088
organmnist_axial,AutoKeras,0.9246666669845581,0.9263206958770932
organmnist_axial,AutoKeras,0.9246666669845581,0.9220000147819519
organmnist_axial,AutoKeras,0.9256667137145696,0.9266068577766418
organmnist_axial,AutoKeras,0.9246666669845581,0.9220000147819519
organmnist_axial,AutoKeras,0.9256667137145696,0.9266068577766418
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8156667137145696,0.8166068577766418
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8156667137145696,0.8166068577766418
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8170000100135803,0.8191883945465088
organmnist_axial,AutoML,0.8146666669845581,0.8163206958770932
organmnist_axial,AutoML,0.8156667137145696,0.8166068577766418
