dataset,algorithm,accuracy,f1score
organmnist_axial,PAES,0.8762140274047852,0.8757619261741638
organmnist_axial,PAES,0.7901526093482971,0.7898101806640625
organmnist_axial,PAES,0.8903326392173767,0.8902820944786072
organmnist_axial,PAES,0.8595642447471619,0.8594689965248108
organmnist_axial,PAES,0.8818202018737793,0.8817355632781982
organmnist_axial,PAES,0.8915513753890991,0.8916344046592712
organmnist_axial,PAES,0.8494580984115601,0.8492636680603027
organmnist_axial,PAES,0.8278958797454834,0.8274942636489868
organmnist_axial,PAES,0.881482720375061,0.8818104863166809
organmnist_axial,PAES,0.8315708637237549,0.8317627906799316
