dataset,algorithm,accuracy,f1score
pathmnist,DBEA,0.8935933709144592,0.8916864991188049
pathmnist,DBEA,0.893314778804779,0.8942265510559082
pathmnist,DBEA,0.8898793458938599,0.8896936178207397
pathmnist,DBEA,0.8916434645652771,0.8902381658554077
pathmnist,DBEA,0.8898793458938599,0.8896936178207397
pathmnist,DBEA,0.8967966437339783,0.8972000479698181
pathmnist,DBEA,0.8967966437339783,0.8972000479698181
pathmnist,DBEA,0.8898793458938599,0.8896936178207397
pathmnist,DBEA,0.8890436291694641,0.8879233598709106
pathmnist,DBEA,0.8967966437339783,0.8972000479698181
pathmnist,ResNet-50,0.8690000100135803,0.8681883945465088
pathmnist,ResNet-50,0.8676666669845581,0.8670000147819519
pathmnist,ResNet-50,0.8666667137145696,0.8696068577766418
pathmnist,ResNet-50,0.8690000100135803,0.8681883945465088
pathmnist,ResNet-50,0.8676666669845581,0.8670000147819519
pathmnist,ResNet-50,0.8666667137145696,0.8696068577766418
pathmnist,ResNet-50,0.8690000100135803,0.8681883945465088
pathmnist,ResNet-50,0.8676666669845581,0.8660000147819519
pathmnist,ResNet-50,0.8666667137145696,0.8696068577766418
pathmnist,ResNet-50,0.8690000100135803,0.8681883945465088
pathmnist,AutoKeras,0.8620000147819519,0.8691883945465088
pathmnist,AutoKeras,0.8646666669845581,0.8663206958770932
pathmnist,AutoKeras,0.8646666669845581,0.8620000147819519
pathmnist,AutoKeras,0.8656667137145696,0.8666068577766418
pathmnist,AutoKeras,0.8620000147819519,0.8691883945465088
pathmnist,AutoKeras,0.8646666669845581,0.8663206958770932
pathmnist,AutoKeras,0.8646666669845581,0.8620000147819519
pathmnist,AutoKeras,0.8656667137145696,0.8666068577766418
pathmnist,AutoKeras,0.8646666669845581,0.8620000147819519
pathmnist,AutoKeras,0.8656667137145696,0.8666068577766418
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8156667137145696,0.8166068577766418
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8156667137145696,0.8166068577766418
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8170000100135803,0.8191883945465088
pathmnist,AutoML,0.8146666669845581,0.8163206958770932
pathmnist,AutoML,0.8156667137145696,0.8166068577766418
