dataset,algorithm,accuracy,f1score
octmnist,SMSEMOA,0.7590000033378601,0.7610677480697632
octmnist,SMSEMOA,0.7770000100135803,0.7825521230697632
octmnist,SMSEMOA,0.7723333835601807,0.7779172658920288
octmnist,SMSEMOA,0.7883332967758179,0.7928583025932312
octmnist,SMSEMOA,0.783666729927063,0.7841331958770752
octmnist,SMSEMOA,0.752333402633667,0.754696786403656
octmnist,SMSEMOA,0.7546666860580444,0.7568204402923584
octmnist,SMSEMOA,0.7383334040641785,0.743954598903656
octmnist,SMSEMOA,0.7506666779518127,0.7545108199119568
octmnist,SMSEMOA,0.7743333578109741,0.7729259729385376
