dataset,algorithm,accuracy,f1score
octmnist,eMOEA,0.7510000467300415,0.7551618218421936
octmnist,eMOEA,0.7576667070388794,0.7614862322807312
octmnist,eMOEA,0.746999979019165,0.752663254737854
octmnist,eMOEA,0.7473333477973938,0.7510230541229248
octmnist,eMOEA,0.7553333640098572,0.7580915093421936
octmnist,eMOEA,0.7673333883285522,0.7726004123687744
octmnist,eMOEA,0.7556667327880859,0.75908362865448
octmnist,eMOEA,0.7723333835601807,0.7779172658920288
octmnist,eMOEA,0.7696666717529297,0.7729724645614624
octmnist,eMOEA,0.7883333563804626,0.7932323217391968
