dataset,algorithm,accuracy,f1score
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9381883835793542,0.9379937015304565
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9381883835793542,0.9379937015304565
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
organmnist_axial,SPEA2,0.9384321069717407,0.9382541871070862
