dataset,algorithm,accuracy,f1score
octmnist,DBEA,0.783666729927063,0.7841331958770752
octmnist,DBEA,0.7770000100135803,0.7825521230697632
octmnist,DBEA,0.7756667137145996,0.7791883945465088
octmnist,DBEA,0.7740000486373901,0.777948260307312
octmnist,DBEA,0.7883333563804626,0.7932323217391968
octmnist,DBEA,0.7746666669845581,0.7766068577766418
octmnist,DBEA,0.7720000147819519,0.7766730189323425
octmnist,DBEA,0.7720000147819519,0.7763206958770752
octmnist,DBEA,0.7740000486373901,0.777948260307312
octmnist,DBEA,0.7746666669845581,0.7766068577766418
