dataset,algorithm,accuracy,f1score
organmnist_axial,DBEA,0.9245134592056274,0.9242404103279114
organmnist_axial,DBEA,0.9237446784973145,0.9233051538467407
organmnist_axial,DBEA,0.9237446784973145,0.9233051538467407
organmnist_axial,DBEA,0.9155322909355164,0.9150822758674622
organmnist_axial,DBEA,0.9266133904457092,0.9264699220657349
organmnist_axial,DBEA,0.9244571924209595,0.9240045547485352
organmnist_axial,DBEA,0.9256759285926819,0.9254295229911804
organmnist_axial,DBEA,0.9238759875297546,0.9237880706787109
organmnist_axial,DBEA,0.9245134592056274,0.9242404103279114
organmnist_axial,DBEA,0.9187947511672974,0.9187058806419373
