dataset,algorithm,accuracy,f1score
organmnist_axial,SMSEMOA,0.922207236289978,0.9220885634422302
organmnist_axial,SMSEMOA,0.9284321069717407,0.9282541871070862
organmnist_axial,SMSEMOA,0.9079198837280273,0.9081107378005981
organmnist_axial,SMSEMOA,0.9199947714805603,0.9197573661804199
organmnist_axial,SMSEMOA,0.9198072552680969,0.9198048114776611
organmnist_axial,SMSEMOA,0.9192447662353516,0.9190803170204163
organmnist_axial,SMSEMOA,0.9210634827613831,0.9205885529518127
organmnist_axial,SMSEMOA,0.9184010028839111,0.918388307094574
organmnist_axial,SMSEMOA,0.9266133904457092,0.9264699220657349
organmnist_axial,SMSEMOA,0.9252821803092957,0.92503821849823
