dataset,algorithm,accuracy,f1score
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.893314778804779,0.8942265510559082
pathmnist,NSGAII,0.8797585964202881,0.8788140416145325
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
pathmnist,NSGAII,0.893314778804779,0.8942265510559082
pathmnist,NSGAII,0.8935933709144592,0.8916864991188049
pathmnist,NSGAII,0.9029247760772705,0.9048282504081726
pathmnist,NSGAII,0.8898793458938599,0.8896936178207397
pathmnist,NSGAII,0.8967966437339783,0.8972000479698181
