dataset,algorithm,accuracy,f1score
octmnist,PAES,0.25,0.0
octmnist,PAES,0.7056666612625122,0.71075838804245
octmnist,PAES,0.7316666841506958,0.7386797666549683
octmnist,PAES,0.6583333611488342,0.6612257957458496
octmnist,PAES,0.7576667070388794,0.7614862322807312
octmnist,PAES,0.6923334002494812,0.7003812789916992
octmnist,PAES,0.6893333792686462,0.6941964030265808
octmnist,PAES,0.674666702747345,0.6793619990348816
octmnist,PAES,0.6720000505447388,0.6766647696495056
octmnist,PAES,0.746999979019165,0.752663254737854
