dataset,algorithm,accuracy,f1score
pathmnist,PESA2,0.9029247760772705,0.9048282504081726
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
pathmnist,PESA2,0.9029247760772705,0.9048282504081726
pathmnist,PESA2,0.9029247760772705,0.9048282504081726
pathmnist,PESA2,0.8898793458938599,0.8896936178207397
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
pathmnist,PESA2,0.8967966437339783,0.8972000479698181
