dataset,algorithm,accuracy,f1score
organmnist_axial,NSGAII,0.9284321069717407,0.9282541871070862
organmnist_axial,NSGAII,0.9284321069717407,0.9282541871070862
organmnist_axial,NSGAII,0.9266133904457092,0.9264699220657349
organmnist_axial,NSGAII,0.9284321069717407,0.9282541871070862
organmnist_axial,NSGAII,0.9281883835792542,0.9279927015304565
organmnist_axial,NSGAII,0.9244571924209595,0.9240045547485352
organmnist_axial,NSGAII,0.9281883835792542,0.9279927015304565
organmnist_axial,NSGAII,0.9284321069717407,0.9282541871070862
organmnist_axial,NSGAII,0.9256759285926819,0.9254295229911804
organmnist_axial,NSGAII,0.9252821803092957,0.92503821849823
